index,content,token
0, Welcome to the Huberman Lab podcast where we discuss science and science-based tools for everyday life.,104
1,I'm Andrew Huberman and I'm a professor of neurobiology and ophthalmology at Stanford School of Medicine.,105
2,This podcast is separate from my teaching and research roles at Stanford.,73
3,It is however part of my desire and effort to bring zero cost to consumer information about science and science-related tools to the general public.,148
4,"In keeping with that theme, I'd like to thank the sponsors of today's podcast.",78
5,Our first sponsor is Inside Tracker.,36
6,Inside Tracker is a personalized nutrition platform that analyzes data from your blood and DNA to help you better understand your body and reach your health goals.,163
7,I've long been a fan of getting blood work done for the simple reason that many of the things that impact our immediate and long term health can only be analyzed from a quality blood test.,188
8,"And now with the advent of modern DNA tests, we can also get insight into things like metabolic factors that tell us whether or not we metabolize caffeine well or certain proteins well, what our fat metabolism genes are like.",225
9,"Things of that sort can only be analyzed from quality, blood, and DNA tests.",76
10,"In addition, many of the factors that impact our hormones, our metabolism, our brain health, those come back in a blood and DNA test.",133
11,"And there are many blood and DNA tests out there, but with Inside Tracker, they give you a lot of clear insight into what those markers mean and how to adjust them.",164
12,"They have this terrific platform that doesn't just give you the numbers back and tell you if you're higher, low in some factor.",127
13,"But rather, it tells you what your levels are of all those factors and gives you very simple and clear directives of changes you might make in your diet, change that you might make in your exercise regimen or sleep, etc.",220
14,in order to get those markers where they ought to be and where you would like them to be in order to optimize yourself.,119
15,So they make everything very easy start to finish.,50
16,They can even come to your home to take the blood and DNA tests if you like.,76
17,"If you'd like to try Inside Tracker, you can go to insidetracker.com slash Huberman.",84
18,"And if you do that, you'll get 25% off any of Inside Tracker's plans.",69
19,Use the code Huberman at checkout.,34
20,Today's podcast is also brought to us by Belkimpo Meat Company.,63
21,Belkimpo is a regenerative farm in Northern California that raises organic grass fed and finished certified humane meats.,121
22,"While I don't eat a lot of meat, when I do, I insist that that meat be a very high quality.",91
23,How the animals were cared for is extremely important to me and the life that the animal had and what it consumed is very important to me.,138
24,"So the way that I eat, I've discussed on this podcast before, but very briefly, I basically fast until about noon, then I eat a piece of beef or chicken with lunch and a salad.",176
25,So that's basically my lunch.,29
26,That's what optimizes my levels of alertness for work throughout the day.,73
27,"Then in the evening, I shift over to eating primarily carbohydrates.",68
28,That's what allows me to sleep very well.,41
29,"So I'm not eating huge volumes of meat, but I am eating meat every day.",71
30,"Conventionally raised animals are confined to feed lots and need a diet of inflammatory grains, which is bad for them and it's bad for us when we eat their meat.",161
31,"Bel Campo's animals graze on open pastures and seasonal grasses, resulting in meat that is higher in nutrients and healthy fats.",128
32,And I've talked before about the importance of omega-3 fatty acids for both brain and body health.,98
33,And Bel Campo meats are high in omega-3 fatty acids.,52
34,The way Bel Campo raises its animals isn't just better for your health.,71
35,It also has a positive impact on the environment.,49
36,"It's what's called climate positive and carbon negative, which means good for the planet and good for us.",105
37,My favorite meats from Bel Campo are the ribeye and the flank steaks.,69
38,That's typically what I eat.,28
39,I think I'd probably eat about three or four of those across the week and then I'll eat chicken on some other days.,115
40,They're really delicious.,25
41,"And as I mentioned, they're very good for us.",45
42,"You can order Bel Campo sustainably raised meats to be delivered straight to your door using my code, Huberman, at bellcampo.com slash Huberman.",144
43,"If you do that, you'll get 20% off first time order.",52
44,That's bellcampo.com slash Huberman for 20% off your first order.,65
45,Today's episode is also brought to us by Headspace.,51
46,"Headspace is a meditation app back by 25 published studies and has over 600,000 five star reviews.",98
47,"So I've been meditating on and off since I was about 15, 16 years old, mostly off at first.",91
48,"What I've found is that I'll sometimes start a meditation practice, but it's very hard to stay with.",100
49,"And then a few years ago, I discovered Headspace and I started meditating more regularly.",89
50,"In fact, very recently, because I've had an exorbitant amount of work on my plate and I've been getting less sleep than I would like in order to complete that work, I've brought back a regular meditation practice twice a day, not just my usual once a day.",255
51,Headspace makes it really easy.,31
52,They have so many meditations on there and they guide you into the meditation and out of the meditation in a way that just makes it very simple and makes maintaining the practice really straightforward.,202
53,"Right now, if you want to try Headspace, you can go to headspace.com slash special offer.",89
54,"And if you do that, you'll get a free one month trial.",54
55,So that's totally free with their full library of meditations for every situation.,82
56,So there's no meditations that you can't get access to with this offer.,71
57,You can get access to everything they've got.,45
58,You just go to headspace.com slash special offer.,49
59,You get a free one month trial.,31
60,And hopefully you'll decide to stay with it.,44
61,I've found that staying with meditation has been immensely beneficial for all aspects of my life.,97
62,"Today's episode of the Huberman Lab podcast is our fourth and final episode in this month, which is all about skills and athletic performance.",142
63,"Now, in a previous episode, we talked about science based in particular neuroscience based tools for accelerating fat loss.",123
64,"Previous to that, we talked about ways to improve skill learning motor movements, which also included things like music and piano playing, not just athletic performance.",169
65,And we've also been exploring other aspects of physical performance throughout the entire month.,96
66,"Today, I want to talk about something that is vitally important for not just athletic performance, but for your entire life and indeed for your longevity.",154
67,And that's muscle.,18
68,"Now, many of you when you hear the word muscle think muscle growth and building big muscles.",92
69,"And while we will touch on muscle hypertrophy, muscle growth today and science based protocols to enhance hypertrophy, we will mainly be talking about muscle as it relates to the nervous system.",194
70,And I can't emphasize this enough.,34
71,The whole reason why you have a brain is so that you can move.,62
72,"And one of the things that's exquisite and fantastic about the human brain is that it can direct all sorts of different kinds of movement, different speeds of movement, movement of different durations.",201
73,"We can train our musculature to lift heavier and heavier objects or we can train our musculature to take us further and further, so called endurance.",149
74,"We can also build smoothness of movement, excuse me, smoothness of movement as well as speed of movement, suppleness of movement.",129
75,All of that is governed by the relationship between the nervous system neurons and their connections to muscle.,111
76,"So when you hear the science of muscle and muscle hypertrophy, you might think, well, I'm not interested in building muscle.",124
77,But muscle does many critical things.,37
78,"It's important for movement, it's important for metabolism.",59
79,"The more muscle you have and not just muscle size, but the quality of muscle, that's a real thing.",98
80,The higher your metabolism is and indeed the healthier you are.,63
81,It turns out that jumping ability and ability to stand up quickly and to get up off the floor quickly is one of the most predictive markers of aging and biological aging and no surprise.,186
82,That is governed by the brain to muscle connection.,51
83,"In addition, muscle and musculature is vital for posture and we don't talk about posture enough.",96
84,We all have been told we need to sit up straight or stand up straight.,70
85,But posture is vitally important for how the rest of our body works.,68
86,"It's vital to how we breathe, it's actually even vital to how alert or sleepy we are.",85
87,We're going to talk about the musculature for posture.,54
88,We also are going to talk about muscle as it relates to aesthetic things.,73
89,Now these are all linked.,25
90,"Muscle for metabolism, movement, posture and aesthetics of course are linked.",77
91,"As our posture changes, our aesthetic changes, as our posture and aesthetic changes, how we move changes.",105
92,"And as we improve muscle quality, whether or not that's increasing muscle size or not, that changes the way that our entire system, not just our nervous system and our muscular system, but our immune system and the other organs of the body work.",245
93,"So today as always, we're going to talk a little bit of mechanism.",66
94,I'm going to explain how neurons control muscle.,48
95,"And then we're going to look at muscle metabolism, how muscle uses energy.",74
96,I promise to make all of this very simple.,42
97,"I'm actually going to keep it very brief, probably about 10 minutes total.",74
98,"And by the end of that 10 minutes, you will understand a lot about the neuromuscular connection, how your brain and nervous system control your muscle and how those muscles work.",178
99,Then we are going to talk about how muscles use energy and can change how they use energy for sake of getting stronger.,119
100,"If you like, for also increasing the size, so-called hypertrophy of muscle, and for improving endurance, as well as for improving posture and how you move generally.",165
