index,content,token
0," battle not with monsters, lest ye become a monster.",52
1,"And if you gaze into the abyss, the abyss gazes also into you.",62
2,Right.,6
3,"But I would say, bring it on.",29
4,"If you gaze into the abyss long enough, you see the light, not the darkness.",76
5,Are you sure about that?,24
6,I'm betting my life on it.,26
7,"Following is a conversation with Jordan Peterson, an influential psychologist, lecturer, podcast host, and author of Maps of Meaning, 12 rules for life, and beyond order.",170
8,This is the Lex Friedman podcast to support it.,47
9,Please check out our sponsors in the description.,49
10,"And now, dear friends, here's Jordan Peterson.",46
11,Does the Yevsky wrote in the idiot spoken through the character of Prince Michigan that beauty will save the world?,115
12,Soldiers and actually mentioned this in his Nobel Prize acceptance speech.,74
13,What do you think the Yevsky meant by that?,43
14,Was you right?,14
15,"Well, I guess it's the divine that saves the world.",51
16,Let's say you could say that by definition.,43
17,"And then you might say, well, are there pointers to that which will save the world or that which eternally saves the world?",123
18,And the answer to that in all likelihood is yes.,48
19,"And that's maybe truth and love and justice and the classical virtues, beauty, perhaps in some sense, foremost among them.",122
20,"That's a difficult case to make, but definitely a pointer.",58
21,Which direction is the arrow pointing?,38
22,"Well, the arrow is pointing up.",31
23,"No, I think that which it points to is what beauty points to.",61
24,It transcends beauty.,21
25,It's more than beauty.,22
26,And that speaks to the divine.,30
27,It points to the divine.,24
28,Yeah.,5
29,"And I would say again, by definition, because we could define the divine in some real sense.",92
30,So one way of defining the divine is what is divine to you is your most fundamental axiom.,90
31,"And you might say, well, I don't have a fundamental axiom.",58
32,"And I would say, that's fine, but then you're just confused.",60
33,Because you have a bunch of contradictory axioms.,49
34,"And you might say, well, I have no axioms at all.",49
35,"And then I'd say, well, you're just epistemologically ignorant beyond comprehension, if you think that.",103
36,Because that's just not true at all.,36
37,But you don't think a human being can exist within contradictions.,66
38,"Well, yeah, we have to exist within contradiction.",50
39,"But when the contradictions make themselves manifest, it's a in confusion with regard to direction.",99
40,Then the consequence of that technically is anxiety and frustration and disappointment and all sorts of other negative emotions.,128
41,"But the cardinal negative emotion, signifying multiple pathways forward is anxiety.",83
42,It's an entropy signal.,23
43,"But you don't think that kind of entropy signal can be channeled into into beauty, into love.",93
44,"Why does beauty and love have to be clear, ordered, simple?",59
45,"Well, I would say it probably doesn't have to be, it can't be reduced to clarity and simplicity.",96
46,"Because when it's optimally structured, it's a balance between order and chaos, not order itself.",97
47,"If it's too ordered, if music is too ordered, it's not acceptable.",66
48,It sounds like a drum machine.,30
49,It's too repetitive.,20
50,It's too predictable.,21
51,"It has to have, well, it has to have some fire in it, along with the structure.",79
52,I was in Miami doing a seminar on Exodus with a number of scholars.,67
53,And this is a beauty discussion.,32
54,"When Moses first encounters the burning bush, it's not a conflagration that demands attention.",94
55,It's something that catches his attention.,42
56,It's a phenomenon.,18
57,That means to shine forth.,26
58,And Moses has to stop and attend to it.,39
59,And he does.,12
60,And he sees this fire that doesn't consume the tree.,52
61,"And the tree, the tree is a structure, right?",45
62,It's a tree-like structure.,27
63,It's a branching structure.,27
64,It's a hierarchical structure.,30
65,It's a self-similar structure.,30
66,It's a fractal structure.,25
67,And it's the tree of life.,26
68,And it's the tree of the knowledge of good and evil.,52
69,And the fire in it is the transformation that's always occurring within every structure.,88
70,And the fact that the fire doesn't consume the bush in that representation is an indication of the balance of transformation with structure.,140
71,And that balance is presented as God.,37
72,And what attracts Moses to it in some sense is the beauty.,58
73,"Now, it's the novelty and all that.",35
74,But a painting is like a burning bush.,38
75,"That's a good way of thinking about it, a great painting.",57
76,It's too much for people often.,31
77,My house was and will soon be again completely covered with paintings inside.,77
78,"And it was hard on people to come in there because, well, my mother, for example, say, well, why would you want to live in a museum?",132
79,"And I think, well, I would rather live in a museum than anywhere else in some real sense.",89
80,But beauty is daunting.,23
81,It scares people.,17
82,"They're terrified of buying art, for example, because their taste is on display.",80
83,And they should be terrified because generally people have terrible taste.,74
84,"Now, that doesn't mean they shouldn't foster it and develop it.",63
85,"But and you know, when you put your taste on display, it's a real, it really exposes you.",89
86,Even to yourself as you walk past it every day.,47
87,Absolutely.,11
88,I am.,5
89,Yeah.,5
90,"Well, and look how mundane that is and look how trite it is and look at how cliched it is and look at how sterile or too ordered it is or too chaotic or how quickly you start to take it for granted because you've seen it so many times.",235
91,"Well, if it's a real piece of art, that doesn't happen.",55
92,You notice the little details.,30
93,The whole is greater than the sum of the parts.,47
94,"I mean, there are images, religious images in particular.",57
95,"So we could call them deep images that people have been unpacking for four thousand years and still have an, I'll give you an example.",134
96,This is a terrible example.,27
97,So I did a lecture series on Genesis.,37
98,"And I got a lot of it unpacked, but by no means all of it.",58
99,"When God kicks Adam and Eve out of the Garden of Eden, he puts cherubim with flaming swords at the gate to stop human beings from reentering paradise.",150
100,"I thought, what the hell does that mean?",40
101,Cherubim.,9
102,And why do they have flaming swords?,36
103,I don't get that.,17
104,What is that exactly?,21
105,"And then I found out from Matthew Pazzo, who wrote a great book on symbolism in Genesis, that cherubim are the supporting monsters of God.",138
106,It's a very complicated idea.,29
107,"And that they're partly a representation of that, which is difficult to fit into conceptual systems.",100
108,They've also got an angelic or demonic aspect.,46
109,Take your pick.,15
110,Why do they have flaming swords?,32
111,"Well, a sword is a symbol of judgment and the separation of the wheat from the chaff.",85
112,"I use a sword to cut away, to cut away, and to carve.",53
113,"And a flaming sword is not only that, which carves, it's that, which burns.",75
114,And what is it carve away and burn?,35
115,"Well, you want to get into paradise?",36
116,It carves away everything about you that isn't perfect.,55
117,And so what does that mean?,27
118,"Okay, well, here's part of what it means.",41
119,This is a terrible thing.,25
120,So you could say that the entire Christian narrative is embedded in that image.,79
121,Why?,4
122,"Well, let's say that flaming swords are a symbol of death.",58
123,That seems pretty obvious.,26
124,Let's say further that there is a symbol of apocalypse and hell.,64
125,That doesn't seem completely unreasonable.,42
126,So here's an idea.,18
127,"Not only do you have to face death, you have to face death and hell before you can get to paradise, hellish judgment, and all that's embedded in that image.",156
128,And a piece of art with an image like that has all that information in it.,74
129,And it shines forth in some fundamental sense.,46
130,"It reaches into the back tendrils of your mind, at levels you can't even comprehend and grips you.",98
131,"I mean, that's why people go to museums and gaze at paintings.",62
132,They don't understand.,22
133,And that's why they'll pay what's the most expensive objects in the world.,74
134,"If it's not carbon fiber racing yachts, it's definitely classic paintings.",74
135,Right?,6
136,It's high level technological implements or it's classic art.,61
137,"Well, why are those things so expensive?",40
138,Why do we build temples to house the images?,44
139,Even secular people go to museums?,34
140,I'm secular.,12
141,"Well, are you in a museum?",26
142,Yes.,4
143,Are you looking at art?,23
144,Yes.,4
145,"Well, what makes you think you're secular then?",47
146,It's arguable that the thing many many centuries from now that will remain of all human civilization will be our art.,117
147,Not even the words.,19
148,"Well, you know, a book has remained a very long time, right?",60
149,The biblical not that long of humiliation.,42
150,That's right.,13
151,"But that's in the full arc of living organisms, perhaps will not.",65
152,"Well, we have images that are we have artistic images that are at least 50,000 years old, right?",96
153,That have survived.,19
154,And some of those are they're already profound in their symbolism.,66
155,By we do humans.,16
156,"Yeah, we found them.",20
157,"And and they've lasted, they've lasted that long.",49
158,And so and then think about Europe.,35
159,Seconder people all over the world make pilgrimages to Europe.,62
160,"Well, why?",10
161,Because of the beauty.,22
162,"Obviously, I mean, that's self evident.",39
163,And it's partly because there are things in Europe that are so beautiful.,73
164,"They take your breath away, right?",34
165,They make your hair stand on in.,32
166,They fill you with the sense of and and we need to see those things.,68
167,It's not optional.,18
168,We need to see those things.,28
169,The cathedrals was in a cathedral in Vienna.,44
170,And it was terribly beautiful.,30
171,"You know, terribly beautiful.",29
172,"Well, it was terribly beautiful.",32
173,Is beauty painful for you?,26
174,Is is that the highest form of beauty?,38
175,It really challenges you.,25
176,"Oh, definitely.",15
177,"Yeah, yeah, I got a good analysis of the statue of David.",57
178,"MacClaindtialist says, you could be far more than you are.",58
179,That's what that statue says.,29
180,"And this cathedral, you know, down we went down into the under structure of it.",79
181,And there were three floors of bones from the plague.,53
182,And there they all are.,23
183,And then that cathedral's on top of it.,39
184,It's no joke to go visit a place like that.,43
185,Now it's it rattlesy to the core.,33
186,And our our religious systems have become propositionally dubious.,66
187,"But there's no arguing with the architecture, although modern architects like to with their sterility and their giant middle fingers erected everywhere.",152
188,But beauty is a is a terrible pointer to God.,45
189,"And you know, a secular person will say, well, I don't believe in God.",70
190,It's like have it your way.,27
191,You got it.,11
192,You cannot move forward into the unforeseen horizon of the future except on faith.,82
193,"And you might say, well, I have no faith.",41
194,"It's like, well, good luck with the future then because what are you then nihilistic and hopeless and anxiety ridden?",117
195,"And if not, while something's guiding you forward, it's faith in something or multiple things, which just makes you a polytheist, which I wouldn't recommend.",157
196,"Well, let me ask you one short lived biological meatbag to another.",67
197,Who is God then?,16
198,Let's try to sneak up to this question if it's at all possible.,63
199,Is it possible to even talk about this?,39
200,"Well, better be because otherwise there's no communicating about it.",68
201,Right?,6
202,It has to be something that can be brought down to earth.,57
203,"Well, we might be too dumb to bring it down.",44
204,It's not just ignorant.,23
205,"It's also sinful, right?",24
206,So because there's not knowing and then there's wanting to know or refusing to know.,84
207,Yeah.,5
208,"And so you might say, well, could you extract God from a description of the objective world?",92
209,Right?,6
210,Is God just the ultimate unity of the natural reality?,54
211,"And I would say, well, in a sense, there's some truth in that, but but not exactly because God in the highest sense is the spirit that you must emulate in order to thrive.",171
212,How's that for a biological definition?,39
213,Spirit is a pattern.,20
214,The spirit that you must emulate in order to thrive.,52
215,"So it's a kind of in one sense when we say the human spirit, it's that.",71
216,It's an animating principle.,28
217,"Yeah, it's a meta.",18
218,It's a pattern.,15
219,"And you might say, well, what's the pattern?",44
220,"Okay, well, I can tell you that to some degree.",47
221,"Imagine that like your grip by beauty, your grip by admiration.",63
222,So and you can just notice this.,32
223,This isn't propositional.,25
224,You have to notice it.,22
225,It's like a hole.,17
226,Turns out I admire that person.,31
227,Hmm.,4
228,So what does that mean?,23
229,"Well, it means I would like to be like him or her.",50
230,That's what admiration means.,29
231,It means there's something about the way they are that compels imitation.,73
232,Another instinct or inspires respect or awe even.,49
233,"Okay, what is that that grips you?",34
234,"Well, I don't know.",19
235,"Well, let's say, okay, fine, but it grips you.",46
236,And you want to be like that.,29
237,"Kids hero worship, for example, so do adults for that matter, unless they become entirely cynical.",98
238,I worship quite a quite a few heroes.,37
239,"Well, there you go.",19
240,Probably.,9
241,Yes.,4
242,"Well, there you go.",19
243,"And there's no that worship, that celebration and proclivity to imitate is worship.",83
244,That's what worship means most fundamentally.,45
245,Now imagine you took the set of all admirable people and you extracted out AI learning.,87
246,You extracted out the central features of what constitutes admirable.,69
247,And then you did that repeatedly until you purified it to what was most admirable.,82
248,That's as good as you're going to get in in terms of a representation of God.,77
249,"And you might say, well, I don't believe in that.",49
250,"It's like, well, what do you mean?",34
251,"Yeah, it's not a set of propositional facts.",44
252,It's not a scientific theory about the structure of the object of world.,72
253,"And then I could say something about that too, because I've been thinking about this a lot, especially since talking to Richard Dawkins.",136
254,"It's like, okay, the postmodernist types going back way before Dairadan Foucault, maybe back to Nietzsche, who I admire greatly, by the way, says, God is dead.",159
255,"It's like, okay, but Nietzsche said, God is dead and we have killed him and we'll not find enough water to wash away all the blood.",131
256,So that was Nietzsche.,22
257,He's no fool.,13
258,He's got a way with words.,26
259,He certainly does.,18
260,"And so then you think, okay, well, we killed the transcendent.",62
261,"Well, what does that mean for science?",38
262,"Well, it frees it up because all that nonsense about a deity is the idiot superstition that stops the scientific process from moving forward.",141
263,"That's basically the new atheist claim, something like that.",60
264,"It's like, wait a second.",25
265,Do you believe in the transcendent if you're a scientist?,57
266,"And the answer is, well, not only do you believe in it, you believe in it more than anything else, because if you're a scientist, you believe in what objects to your theory, more than you believe in your theory.",211
267,"Now, we got to think that through very carefully.",49
268,"So your theory describes the world and as far as you're concerned, your description of the world is the world.",110
269,"But because you're a scientist, you think, well, even though that's my description of the world and that's what I believe, there's something beyond what I believe.",163
270,And that's the object.,22
271,And so I'm going to throw my theory against the object and see where it'll break.,81
272,And then I'm going to use the evidence of the break as a source of new information to revitalize my theory.,107
273,"So as a scientist, you have to posit the existence of the ontological transcendent before you can move forward at all.",118
274,"But more, you have to posit that contact with the ontological transcendent, annoying though it is because it upsets your apple cart is exactly what will in fact set you free.",174
275,So then you accept the proposition that there is a transcendent reality.,72
276,"And that the that contact with that transcend reality is redemptive in the most fundamental sense because if it wasn't, well, why would you bother making contact with it?",170
277,You're going to make everything worse or better.,48
278,Why does the contact with the transcendent set you free as a scientist?,71
279,"Because you assume that you assume, I mean freedom in the most fundamental sense.",81
280,"It's like, well, freedom from want, freedom from disease, freedom from ignorance, right?",88
281,That it informs you.,20
282,So the logo is in it.,21
283,Science.,8
284,It is definitely that.,22
285,"Yeah, it's the direction, let's say, the directionality of science.",67
286,"That's a narrative direction, not a scientific direction.",57
287,"And then the question is, what is the narrative?",48
288,"Well, it posits a transcendent reality.",39
289,It posits that the transcendent reality is corrective.,54
290,It posits that our knowledge structures should be regarded with humility.,73
291,It posits that you should bow down in the face of the transcendent evidence.,76
292,And you have to take a vow.,27
293,You know this as a scientist.,29
294,You have to take a vow to follow that path.,43
295,"If you're going to be a real scientist, it's like the truth, no matter what.",76
296,And that means you posit the truth as a redemptive force.,57
297,"Well, what does redemptive mean?",32
298,"Well, why bother with science?",30
299,"Well, so people don't starve.",29
300,So people can move about more effectively.,42
301,"So life can be more abundant, right?",36
302,So it's all ensconced within an underlying ethic.,49
303,"So the reason I was saying that while we were talking about belief in God, it's like, this is a very complicated topic, right?",126
304,Do you believe in a transcendent reality?,41
305,"So, okay, now let's say you buy the argument I just made on the natural front.",78
306,"You say, yeah, yeah, that's just nature.",40
307,That's not God.,15
308,"And then I'd say, well, what makes you think you know what nature is?",69
309,"Like, see, the problem with that argument is that it already presumes a materialist, a reductionist materialist objective view of what constitutes nature.",154
310,"But if you're a scientist, you're going to think, well, in the final analysis, I don't know what nature is.",107
311,I certainly don't know its origin or destination point.,55
312,I don't know its teleology.,27
313,I'm really ignorant about nature.,33
314,"And so when I say it's nothing but nature, I shouldn't mean it's nothing but what I understand nature to be.",108
315,"So I could say, will we have a fully reductionist account of cognitive processes?",81
316,"And the answer to that is yes, but by the time we do that, our understanding of matter will have transformed so much that what we think of as reductionists now won't look anything like what we think of reductionism now.",219
317,Matter isn't dead dust.,23
318,I don't know what it is.,24
319,I have no idea what it is.,26
320,Matter is what matters.,23
321,There's a definition.,21
322,That's a very weird definition.,31
323,"But the notion that we have, you know, that if you're a reductionist, a materialist reductionist, that you can reduce the complexity of what is to your assumptions about the nature of matter.",191
324,That's not a scientific.,24
325,"Your specific limited human assumptions of this century, of this week that so in some sense, without God in this complicated big definition, we're talking about the there's no humility or it's not enough.",204
326,There's less likely to be a rather science can air in taking a trajectory away from humility.,93
327,Without something much more powerful than individual human.,59
328,"Yeah, well, then we know, you know, the Frankenstein story comes out of that instantly.",87
329,That's a good story for the current times.,42
330,It's like you're playing around with making new life.,53
331,"You bloody well, better make sure you have your arrows pointed up.",66
332,And it's interesting because you said science has an ethic to it.,65
333,I think it's embedded in an ethic.,34
334,"Well, science is a big word.",28
335,Yeah.,5
336,And it includes a lot of disciplines that have different traditions.,68
337,"So biology, chemistry, genetics, physics, those are very different communities.",79
338,"And I think biology, especially when you get closer and closer to medicine into the human body, does have a very serious, first of all, it has a history with Nazi Germany of being abused and all those kinds of things.",217
339,"But as a history of taking this stuff seriously, what doesn't have a history of taking this stuff seriously is robotics and artificial intelligence, which is really interesting because you don't, you know, you called me a scientist, but and I would like to wear that label proudly, but often people don't think of computer science.",331
340,"But nevertheless, it will be, I think, the science of one of the major scientific fields of the 21st century.",109
341,And you should take that very seriously.,40
342,"Oftentimes when people build robots or AI systems, they think of them as toys to tinker with.",93
343,"Oh, isn't this cool?",20
344,"Well, that I feel this too.",27
345,Isn't this cool?,16
346,It is cool.,11
347,"But, you know, at a certain moment, you might, isn't this nuclear explosion cool?",81
348,"Yes, it is.",11
349,Or birth control pill cool.,27
350,It's like or transistor cool.,29
351,Yeah.,5
352,"Well, the other thing too, and this is a weird problem in some sense, the robotics engineer types, they're thing people, right?",127
353,"I mean, the big classes of interest are interesting things versus interesting people.",85
354,Some of my best friends are thing people.,41
355,"Yeah, right.",12
356,"And thing people are very, very clear logical thinkers and they're very outcome oriented and practical.",103
357,"Now, and that's all good.",25
358,That makes the machine re and keeps it functioning.,51
359,But there's a human side of the equation.,41
360,"And and you get the extreme thing people and you think, yeah, well, what about the human here?",94
361,"And when we're talking about, we've been talking about the necessity of having a technological enterprise embedded in an ethic.",127
362,"And you can ignore that like most of the time, right?",53
363,You can ignore the overall ethic in some sense when you're toying around with your toys.,88
364,"But when you're building an artificial intelligence, it's like, well, that's not a toy.",87
365,That might be.,14
366,Toys becomes the monster very cool.,35
367,Yeah.,5
368,Yes.,4
369,Yes.,4
370,And this is a whole new kind of monster.,40
371,And maybe it's already here.,28
372,Yes.,4
373,And you notice how many of those things you can no longer turn off.,67
374,And what is it with you engineers and your inability to put off switches on things now?,87
375,"It's like, I have to hold this for five seconds for it to shut off.",67
376,Or I can't figure it.,21
377,I just want to shut it off.,27
378,Click off.,10
379,"Well, what is it with you humans that don't put off switches and other humans?",78
380,Because there's a magic to the thing that you notice.,53
381,And it hurts.,13
382,"For both you and perhaps one day, the thing itself to turn it off.",66
383,And so you have to be very careful as an engineer adding off switches to things.,80
384,"I think it's a feature, not a bug, the off switch.",50
385,The off switch gives a deadline to us humans to systems of existence.,69
386,"It makes you, you know, death is the thing that really brings clarity to life.",78
387,And I do think hence the flaming swords.,40
388,The flaming sword.,18
389,I do like your view of the flame with the bush and perhaps the sword as a thing of transformation.,98
390,It's also a transformation that kind of consumes the thing in the process.,74
391,"Well, it depends on how much of the thing is chaff.",51
392,"You know, this is why you can't touch the arc of the covenant, for example.",75
393,And this is why people can have very bad psychedelic trips.,59
394,"It's like if you're 95% deadwood and you get too close to the flame, the 5% that's left might not be able to make it.",117
395,"So you think it's all chap, but I think there is some aspect of destruction that is, that's, you know, the, the, the old Bukowski line of, uh, do what you love and let it kill you.",180
396,Right.,6
397,Don't you think that destruction is part of that's humility.,60
398,That's humility.,16
399,That's you bet.,15
400,You bet.,8
401,You bet.,8
402,"It's like inviting the judgment, inviting the judgment because maybe you can die a little bit instead of dying completely.",122
403,Yeah.,5
404,"You know, and that's, I think it's Alfred North Whitehead.",58
405,We can let our ideas die instead of us.,39
406,Right.,6
407,We can have these partial personalities that we can burn off.,61
408,And we can let them go before they become tyrannical ferroes and everything.,76
409,And we lose everything.,23
410,"And so yeah, there's this optimal bite of death.",48
411,And who knows what it would mean to optimize that?,50
412,Like what if it was possible that if you died enough all the time that you could continue to live?,98
413,"And the thing is we already know that biologically because if you don't die properly all the time, well, it's cancerous outgrowth and, and like it's a very fine balance between productivity on the biological front and the culling of that, right.",245
414,Life is a real balance between growth and death.,48
415,And so what would happen if you got that balance right?,55
416,"Well, we kind of know, right?",29
417,"Because if you live your life properly, so to speak, and you're humble enough to let your stupidity die before it takes you out, you will live longer.",150
418,That's just a fact.,19
419,"Well, but then what's the ultimate extension of that?",53
420,And the answer is we don't know.,32
421,We have no idea.,16
422,"Well, let me ask you a difficult question because... As opposed to the easy ones that you've been asking so far.",112
423,"Well, does the F-Skis always just the warm up?",46
424,"So if death, if death every single day is the way to progress through life, you have become quite famous.",105
425,Death and hell.,15
426,Death and hell.,15
427,"Yeah, because you don't want to forget the hell part.",53
428,Do you worry that your fame traps you into the person that you wore before?,75
429,"Well, it all just became an Elvis impersonator by the time you died.",68
430,"Yeah, do you fear that you have become a Jordan Petersoner personator?",70
431,"That do you fear of, in some part, becoming the famous suit-wearing brilliant Jordan Peter, the certainty in the pursuit of truth?",130
432,Always right.,13
433,I think I worry about it more than anything else.,49
434,I hope.,7
435,I hope I do.,12
436,I better.,9
437,Has fame to some degree when you look at yourself in the mirror in the quiet of your mind?,90
438,Has it corrupted you?,21
439,No doubt.,9
440,"In some regard, I mean, it's very difficult thing to avoid, because things change around you.",93
441,"People are much more likely to do what you ask, for example.",60
442,"That's a danger, because one of the things that keeps you dying properly is that people push back against you optimally.",120
443,"This is why so many celebrities spiral out of control, especially the tyrannical types that say run countries.",110
444,"Everyone around them stops saying, yeah, you're deviating a little bit there.",77
445,They laugh at all their jokes.,30
446,They open all their doors.,26
447,They always want something from them.,37
448,The red carpets always rolled out.,34
449,"It's like, well, you think, would not be lovely.",48
450,"It's well, not if the red carpet is rolled out to you while you're on your way to perdition.",92
451,That's not a good deal.,23
452,You just get there more efficiently.,36
453,"And so one of the things that I've tried to learn to manage is to have people around me all the time who are critics, who are saying, yeah, I could have done that better.",170
454,And you're a little too harsh there.,36
455,And you're alienating people unnecessarily there.,49
456,And you should have done some more background work there.,57
457,And I think the responsibility attendant upon that increases as your influence increases.,89
458,"And that's as your influence increases, then that becomes a lot of responsibility.",82
459,"So, you know, and then maybe have an off day.",45
460,"And well, here's an example.",28
461,"I've been writing some columns lately about things that perturbed me like the forthcoming famine, for example.",110
462,And it's hard to take those problems on.,40
463,It's difficult to take those problems on in a serious manner and it's frightening.,82
464,And it would be easier just to go up to the cottage with my wife and go out on the lake and watch the sunset.,109
465,And so I'm tempted to draw on anger as a motivating energy to help me overcome the resistance to doing this.,108
466,"But then that makes me more harsh and judgmental in my tone when I'm reading such things, for example, on YouTube, then might be optimal.",137
467,"Now, I've had debates about with people about that because I have friends who say, no, if you're calling environmentalist, globalists who are harassing the Dutch farmers, then a little anger is just the ticket.",210
468,"But then others say, well, you know, you don't want to be too harsh because you alienate people who would otherwise listen to you.",130
469,"It's like, that's a hard balance to get, right?",47
470,"But also maybe anger hardens your mind where you don't notice the subtle, quiet beauty of the world, the quiet love that's always there, the permeate everything.",161
471,Sometimes you can become deeply cynical about the world.,56
472,"It's the Nietzsche thing, battle not with monsters, lest you become a monster.",78
473,"And if you gaze into the abyss, the abyss gazes also into you.",62
474,Right.,6
475,But I would say bring it on.,28
476,Right?,6
477,"Well, I also say, knowing that he's absolutely right, but if you gaze into the abyss long enough, you see the light, not the darkness.",134
478,Are you sure about that?,24
479,I'm betting my life on it.,26
480,That's a heck of a bet.,23
481,"Well, that's because it might distort your mind to where all you see is a bis is a bis is the evil in this world.",113
482,"Well, then I would say you haven't looked long enough.",54
483,"You know, that's back to the you're just a limit.",49
484,The sword's the flaming swords.,31
485,"It's like, so I said the whole story of Christ was prefigured in that image.",76
486,It's like the story of Christ psychologically is radical acceptance of the worst possible tragedy.,98
487,That's what it means.,21
488,That's what the crucifix means.,31
489,"Psychologically, it's like gaze upon that which you are most afraid of.",71
490,"But that story doesn't end there because in the in the story, Christ goes through death into hell.",98
491,So death isn't enough.,22
492,"The abyss, the abyss of innocent death is not sufficient to produce redemption.",79
493,It has to be a voluntary journey to hell.,41
494,And maybe that's true for everyone.,35
495,And that's like there is no more terrifying idea than that by definition.,73
496,"And so then, well, do you gaze upon that?",41
497,"Well, who knows?",16
498,Who knows?,10
499,How often do you gaze upon death your own?,42
500,"How often do you remember, remind yourself that this right ends personally?",75
501,Personally.,11
502,All the time.,13
503,"Because you as a deep thinker and philosopher, it's easy to start philosophizing and forgetting that you're you might die to the angel of death sits on every word.",163
504,How's that?,11
505,How often do you actually consciously?,38
506,All the time?,13
507,Notice the angel all the time.,30
508,I think it's one of the things that made me peculiar.,53
509,"When I was in graduate school, you know, I thought about I was I had the thought of death in my mind all the time.",114
510,"And I noticed that many of the people that I was with, these were people I admired fine.",88
511,That wasn't part of their character.,36
512,But it was definitely part of mine.,35
513,I'd wake up every morning.,26
514,This happened for years.,24
515,"I think time short, get out of it, time short, get out of it.",61
516,There's things to do.,21
517,And so that was always it's still there.,40
518,And it's still there with I would say and it's unbearable in some sense.,72
519,Are you afraid of it?,21
520,Like what?,10
521,What's your religion?,21
522,Yeah.,5
523,Yeah.,5
524,"You know, I was ready to die a year ago.",40
525,And not casually.,17
526,"I had people I loved, you know.",31
527,"So no, I'm not very worried about me, but I am very worried about making a mistake.",83
528,Yeah.,5
529,"Her, you know, I must talk about that a couple of months ago.",61
530,It was really a striking moment.,32
531,Someone asked him about death and he said just off-hand day and then went on with the conversation.,99
532,"He said, I'd be a relief.",25
533,And then he went on with the conversation.,42
534,"And I thought, well, you know, he's got a lot of weight on his shoulders.",73
535,"I'm sure that part of them thinks, I'd be easier just if this wasn't here at all.",81
536,"Now he said it off-hand, but it was a telling moment in my estimation.",70
537,"So for him, that's a why live question.",39
538,"The exhaustion of life, if you call it life, is suffering, but the hardship.",76
539,I'm more afraid of hell than death.,35
540,You're afraid of the thing that follows.,40
541,I don't know if it follows or if it's always here.,50
542,And I think we're going to find out.,36
543,What's the connection between death and hell?,45
544,I don't know.,13
545,I don't know.,13
546,Is there something that needs to be done before you arrive?,59
547,You're more likely to die terribly if you live in a manner that brings you to hell.,83
548,That's one connection.,22
549,And terribly is as a very deep kind of concept.,47
550,"Yeah, yeah.",11
551,"And that's a definition, by the way.",36
552,What do you make of Elon Musk?,30
553,You've spoken about him a bit.,30
554,You met him.,12
555,I struck with admiration.,25
556,That's what I make of him.,26
557,And I always think of that version.,35
558,I always think about it as a primary.,37
559,"Well, it's like, do you find this comedian funny?",49
560,"It's like, well, I laugh at him.",32
561,You know what I mean?,21
562,It's not propositional again.,29
563,And so there are things I would like to ask Mr. Musk about.,59
564,The Mars venture.,17
565,I don't know what he's up to there.,35
566,It strikes me as absurd in the most fundamental sense.,54
567,"Because I think, well, it'd be easier just to build an outpost in the Antarctica or in the desert.",98
568,"Well, how much of the human endeavours absurd?",46
