index,content,token
0, Welcome to the Huberman Lab podcast where we discuss science and science-based tools for everyday life.,104
1,I'm Andrew Huberman and I'm a professor of neurobiology and ophthalmology at Stanford School of Medicine.,105
2,Today we are going to talk all about dopamine and what drives you to do the things that you do.,95
3,We're going to talk about motivation and desire and craving but also how dopamine relates to satisfaction and our feelings of well-being.,137
4,And of course any discussion about dopamine has to include a discussion about the potential for dopamine-induced addiction.,123
5,Indeed dopamine lies at the heart of addiction to all things.,61
6,But today we are mainly going to focus on how what we do and how we do it and how we conceptualize those things.,112
7,Leads to changes in this amazing molecule in our brain embodies that we call dopamine.,86
8,I'm going to teach you what dopamine is and what it is not.,59
9,There are a lot of myths about the molecule dopamine.,53
10,We often hear about so-called dopamine hits.,44
11,Today we are going to dispel many common myths about dopamine and we are going to talk about how dopamine actually works.,121
12,"We're going to discuss the biology of dopamine, the psychology.",63
13,We will discuss some neural circuits and a really exciting aspect of dopamine biology or so-called dopamine schedules.,118
14,"In other words, we are going to discuss how things like food, drugs, caffeine, pornography, even some plant-based compounds can change our baseline levels of dopamine.",167
15,"In doing so, they change how much dopamine we are capable of experiencing from what could be very satisfying events or events that make us feel not so good because of things that we did or took prior.",200
16,I promise you it's going to be a vast discussion but I will structure it for you and you'll come away with a deep understanding of really what drives you.,154
17,"You will also come away with a lot of tools, how to leverage dopamine so that you can sustain energy drive and motivation for the things that are important to you over long periods of time.",189
18,"Before we dive into the meat of today's discussion, I'd like to share with you a fascinating result that really underscores what dopamine is capable of in our brains and bodies and underscores the fact that just through behaviors, no drugs, nothing of that sort.",262
19,"Just through behaviors, we can achieve terrifically high increases in dopamine that are very long and sustained in ways that serve us.",134
20,This is a result that was published in the European Journal of Physiology.,74
21,I'll go into it in more detail later but essentially what it involved is having human subjects get into water of different temperatures.,136
22,"So it was warm water, moderately cool water and cold cold water had them stay in that water for up to an hour and they measured by way of blood draw, things like cortisol, nor epinephrine and dopamine.",201
23,What was fascinating is that cold water exposure led to very rapid increases in nor epinephrine and epinephrine which is also just called adrenaline.,149
24,It also led to increases in dopamine and these increases in dopamine were very significant.,91
25,They kicked in around 10 or 15 minutes after submersion into the cold water and I should mention the head wasn't below water is just up to the neck.,148
26,And the dopamine release continued to rise and rise and rise and eventually reached 250% above baseline.,104
27,"Now what was interesting is after subjects got out of this cold water that dopamine increase was sustained and I know nowadays many people are interested in using cold water therapy as a way to increase metabolism and fat loss but also to improve sense of well being, improve cognition, improve clarity of mind.",311
28,There's something really special about this very alert but calm state of mind that seems to be the one that's optimal for pretty much everything except sleep but for all aspects of work and for social engagement and for sport that highly alert but calm state of mind really is the sweet spot that I believe most of us would like to achieve.,340
29,And this cold water exposure done correctly really can help people achieve that state of mind through these increases in dopamine that last a very long time.,157
30,So I will later detail the specifics of that study what it entailed in terms of how long the variations that different subjects experienced as well as how to limit the amount of stress hormone cortisol that's released as a consequence of the cold water.,253
31,And we will also talk about compound supplements that people can take in order to increase their levels of dopamine should they choose.,135
32,Before we begin I'd like to emphasize that this podcast is separate from my teaching and research roles at Stanford.,116
33,It is however part of my desire and effort to bring zero cost to consumer information about science and science related tools to the general public.,148
34,In keeping with that theme I'd like to thank the sponsors of today's podcast.,77
35,Our first sponsor is Roka.,26
36,Roka makes sunglasses and eyeglasses that are of the absolute highest quality.,78
37,I've spent a lifetime working on the visual system and I can tell you that the visual system has to go through a lot of work in order to make clarity of what you see when there are shadows when you go into different types of indoor lighting and so on.,251
38,And a lot of glasses don't work well because you put them on and then you're in bright light and you can see fine but then you move into a shadow and then you have to take them off and they don't adjust or they don't adjust quickly enough.,239
39,With Roka their eyeglasses and sunglasses are designed with the visual system biology in mind so you always see things with perfect clarity.,140
40,The glasses are also terrific because they're very light weight and they won't slip off your face if you're exercising if you're running or biking.,147
41,In fact they were designed for the purpose of being able to be worn while you are engaging in those sorts of activities or simply working at your desk.,151
42,So I happen to wear readers at night when I drive or when I work and I love their sunglasses because I can wear them anywhere and also the aesthetics of their sunglasses and eyeglasses are terrific.,198
43,"Unlike a lot of other performance glasses that frankly make people look like cyborgs, the aesthetics on Roka are really terrific.",129
44,You can wear them anywhere you'd like to go.,44
45,If you'd like to try Roka glasses you can go to roka.com that's roka.com and enter the code Huberman to save 20% off your first order.,134
46,That's roka roka.com.,21
47,Enter the code Huberman at checkout.,36
48,Today's podcast is also brought to us by Inside Tracker.,56
49,Inside Tracker is a personalized nutrition platform that analyzes data from your blood and DNA to help you better understand your body and help you reach your health goals.,172
50,I'm a big believer in getting regular blood work done and now with the advent of modern DNA tests you can also analyze your DNA to see what you ought to be doing for your immediate and long term health.,202
51,"We hear a lot these days about optimization, optimizing hormones, optimizing your metabolism, optimizing this, optimizing that.",127
52,"But unless you know the measurements of metabolic factors, hormones and other things that are in your blood and DNA, you don't know what to optimize.",149
53,With Inside Tracker it makes all of that very easy.,51
54,They can come to your house to take the blood and DNA test or you can go to a nearby clinic.,92
55,"They send you the information and you take those results and unlike a lot of laboratories doing blood work out there in DNA tests, they have a simple platform, a dashboard that walks you through your results and helps you identify what sorts of nutritional or behavioral or other types of practices you might want to incorporate into your life in order to positively impact your immediate and long term health.",410
56,It's a very easy system to use and you will gain a ton of information simply by doing that test whether or not you end up making changes to what you're doing or not.,165
57,If you'd like to try Inside Tracker you can go to InsideTracker.com slash Huberman to get 25% off any of Inside Tracker's plans.,128
58,Just use the code Huberman at checkout.,39
59,Today's episode is also brought to us by Headspace.,51
60,"Headspace is a meditation app back by 25 published studies and has over 600,000 five star reviews.",98
61,I've been meditating for a long time but I confess sometimes I meditate and sometimes I am very inconsistent about my meditation.,129
62,"Ideally I would meditate every day for 20 or 30 minutes but what I've found over the years is that I'll start a meditation practice and then as life gets more stressful or busier, which is exactly when I need to meditate more, I tend to meditate less often.",257
63,Switching over to Headspace as a meditation app really helped me stay consistent with my meditation practice and that's because they have a huge range of meditations to select from.,181
64,"Some are short, some are longer and in general I try and get 20 minutes of meditation in every day but some days it's just five minutes and they have some terrific just five minute meditations.",193
65,The science says that even a five minute meditation can be beneficial for different aspects of our brain and body.,114
66,If you want to try Headspace you can go to headspace.com slash special offer and if you do that you'll get one month as a free trial with Headspace's full library of meditations that you can use in any situation.,212
67,This is the best deal offered by Headspace right now so if you're interested go to headspace.com slash special offer to get one free one month trial with Headspace's full library of meditations.,194
68,I'd like to announce that there's an event that some of you may find very useful.,81
69,This is an event put on by Logitech that I will be speaking at.,63
70,"It's called Rethink Education, the biology of learning, reimagining learning through neuroscience and at this event I will be speaking, there will be other speakers as well and I will be talking about neuroplasticity and its applications for teaching and for learning.",268
71,"I will describe what I call the plasticity super protocol that incorporates all of what we know about rapid learning, efficient learning and the best ways to teach and learn.",174
72,It's geared towards educators of all kinds.,43
73,It is zero cost so please feel free to sign up.,47
74,The event is September 30th 2021 at 3pm Eastern.,48
75,You can find the registration link in the caption for this episode.,67
76,Let's talk about dopamine.,26
77,Most people have heard of dopamine and we hear all the time now about dopamine hits but actually there's no such thing as a dopamine hit.,137
