index,content,token
0," The following is a conversation with Ray Dalio, his second time on the podcast.",80
1,"He is a legendary investor, founder of Bridgewater Associates, author of a book I highly recommend called Principles and also a new book called Principles for Dealing with a Changing World Order that looks at the geopolitics of the day, especially US and China, to the lens of history, providing a fascinating model for the rise and fall of empires that can be applied to the analysis of our world today.",404
2,This is the Lex Friedman podcast to support it.,47
3,Please check out our sponsors in the description.,49
4,And now here's my conversation with Ray Dalio.,46
5,"When you look at the history of the world, as you have done in your new book, Principles of Dealing with a Changing World Order, what is more important, more impactful, money or power?",184
6,They go hand in hand.,21
7,They support each other and they compete with each other.,57
8,"Those who have money have power, a certain type of power.",57
9,"That power has to do with all that they can buy, but it also has the ability to influence those with political power.",117
10,"So you see this throughout history, this symbiotic relationship, for example, between the royal families and the nobility and the church.",137
11,So you see that group of people supporting each other in various ways and then wrestling around with each other for the money and power among that group.,153
12,"So the dynamic that's quite classic is you could look at the parties in power back in the 16th, 17th centuries.",111
13,"You would look at royal families, nobles and the church, if you're in Europe, and then you would look at agricultural land and there was a certain dynamic.",155
14,And that varies over time.,26
15,It changes.,11
16,"As those people get thrown out in technology changes, so when we evolved, when the society evolved, so that it would produce goods and services, and you have something like the Industrial Revolution, the first Industrial Revolution.",232
17,"They have machines, and you have the talent of people that are off the farms, and then you have a struggling for power.",119
18,You see that power mix change.,30
19,"And so we don't see that same power mix anymore, but you still see the same dynamic.",84
20,"You see those with money, dealing with those who have political power around those assets that are considered most valuable to particularly the productive assets that produce money.",181
21,"And political powers usually centered around nation state, so the major locuses of powers the nations.",102
22,"Yes, in 1668, after 30 years of war, there was the development of nation states.",80
23,"Before then, we had, I was really the development of countries as we know it, that there were borders, and that within those borders, those who had control, got to control it, and there would not be intrusions in those borders, and that's how we established the nation state.",275
24,"And then, of course, within each country, there is levels.",58
25,"There is a central level, and then there is a typically a province or state level down below, and then there's a municipal level, so they each have different levels of power, and it's the coordination of those that determines how the country is run.",249
26,"You write that the quote archetypal, big cycle, governs the rising and declining empires and influences everything about them, including their currencies and markets.",166
27,"The most important three cycles are the ones you mentioned in the introduction, the long term debt and capital market cycle, the internal order and disorder cycle, and the external order and disorder cycle.",206
28,Can you describe this big cycle?,32
29,There are two orders.,21
30,"There is an order by a system, order, I mean, a system, how the system works.",77
31,"So there's an internal order, that is the internal governance system, and it's usually set out in a constitution or some agreements, and then there's the world order, how the world system, so for example, in 1945 at the end of a war, which is basically a fight for determining the world order, the winners of the fight got together and created the world system as we now know it.",379
32,"44, they created the Brenton Woods monetary system that determined the money pretty much, and because the United States won and had 80% of the world's money, gold was money then, and it has 80% of the world's gold, and it was half the world's economy, and it was the great military power.",288
33,"The water was built around an American world order, so that the United Nations was in New York, the World Bank and the IMF were in Washington, and they built that new water.",173
34,"So, classically, you have a war to determine whose rules were following, and then you have the new water being constructed.",123
35,"After that, there is usually period of extended peace and prosperity, peace suits prosperity, and so there's not, and the reason you have the peace is because no one wants to fight with the dominant power.",205
36,"You know you're going to lose, you've surrendered, there's been the surrendering.",81
37,"They carve up the world, they say what it's going to look like, who's going to control what, and then you come into that period of peace and then prosperity, where then there's a working together.",196
38,"Usually at that point, you've wiped out a lot of the debt, you've wiped out a lot of the issues, the class warfare, and so on, and then there's good working together.",166
39,"So those great periods, such as the Industrial Revolution in the late 1800s, or what we've experienced in the post-World War II period are peaceful and prosperous periods led largely by the dominant world power.",211
40,"Over a period of time, since really 1500, and maybe before, but really 1500 when the Dutch invented capitalism, and what I mean by that, they invented the first capital markets, the first stocks and the first stock market, that since then capitalism has been an effective tool for building wealth because it got resources into the hands of inventive people.",357
41,"That's when we moved from agriculture to the importance of inventiveness of people, they got resources, and then they built that prosperity.",140
42,"In that process of doing that, they create wealth gaps naturally.",65
43,"Those who make a lot of money make a lot more, and then those that don't.",73
44,"And it also produces opportunity gaps because, for example, those who earn a lot of money have that wealth, they have the power to educate their children in a way that others don't, and the gaps grow.",200
45,And also the debts grow at that time.,37
46,"When they go around the world with their competitiveness, they earn a lot of money.",83
47,"So, for example, the Dutch, the Dutch Empire, learned how to build ships that would go around the world.",104
48,A key ingredient of this improvement in this cycle is the improvement of education.,83
49,"And by education, I mean the skills that come from education, but also civility, the ability to deal well together.",115
50,"So, the Dutch invented ships that could go around the world, and they had military power, but they were also very inventive society.",132
51,25% of the world's new inventions came from the Dutch.,54
52,"And so as they went around the world, they also brought their currency, and they brought their military.",104
53,"They needed the currency, they paid for things and that currency, and then the more that happens, the more that becomes a reserve currency.",139
54,"And then they have their military, so they need their military strength.",72
55,And so you see it evolved in all of those ways.,47
56,"But over a period of time, as they become more successful and more expensive, they become more expensive.",105
57,"And newer countries come along, like the UK, then learn to build ships from a lot the Dutch, and could do that less expensively.",128
58,"And also when they become more expensive, so less competitive, and also the work ethic begins to change.",104
