index,content,token
0, Welcome to the Huberman Lab podcast where we discuss science and science-based tools for everyday life.,104
1,I'm Andrew Huberman and I'm a professor of neurobiology and ophthalmology at Stanford School of Medicine.,105
2,Today we are going to talk all about attention deficit hyperactivity disorder or ADHD.,86
3,"We are also going to talk about normal levels of focus, what are normal levels of focus, and how all of us, whether or not we have ADHD or not, can improve our ability to focus, our ability to rule out distraction, turns out those are two separate things, as well as remember information better.",295
4,"We are also going to talk about how we can learn to relax while focusing, which turns out to be a critical component of learning new information, and for coming up with new creative ideas.",188
5,"So whether or not you have ADHD or know someone who does, or if you're somebody who feels that they do not have ADHD, but would simply like to improve their ability to focus or to be more creative, this episode is definitely for you as well.",241
6,"We are going to talk about drug-based tools that are out there, we are going to talk about behavioral tools, we will talk about the role of diet and supplementation, and we will talk about new emerging brain-machine interface devices, things like transcranial magnetic stimulation.",281
7,"If you don't know what that is, don't worry, I will explain it to you.",70
8,"These are non-invasive methods for rewiring your brain in order to make focusing more natural for you, and to teach you how to increase your depth of focus.",156
9,"Now just a quick reminder that anytime we discuss a psychiatric disorder, it's important that we remember that all of us have the temptation to self-diagnose or to diagnose others.",180
10,"So as I list off some of the symptomology of ADHD, some of that symptomology might resonate with you, you might think, oh, maybe I have ADHD or you might decide that someone you know definitely has ADHD.",203
11,"However, it is very important that you don't self-diagnose or diagnose somebody else.",85
12,"The clear and real diagnosis of ADHD really should be carried out by a psychiatrist, a physician, or a very well-trained clinical psychologist.",143
13,There are clear criteria for what constitutes full-blown ADHD.,62
14,"However, many of us have constellations of symptoms that make us somewhat like somebody with ADHD.",98
15,"And if you're struggling with focus nowadays as a lot of people are, because of stress, because of smartphone use, which turns out can induce adult ADHD, we'll talk about that.",176
16,"Well, then pay attention to the symptomology.",45
17,You may actually require professional treatment.,48
18,You might not.,14
19,"Equally important is to remember that some of the terms that we cover, like impulse control and attention and concentration, are somewhat subjective and they can change over time.",179
20,Sometimes we have a better level of attention than others.,58
21,Maybe it depends on how we slept or other events going on in our life or something that we're entirely unaware of.,114
22,The important thing to remember is that we can all improve our attentional capacity.,84
23,We can all rewire the circuits that make heightened levels of focus more accessible to us.,90
24,We can do that through multiple types of interventions and we are going to cover all those interventions today.,111
25,"Before we march into the material, I'd like to remind that this podcast is separate from my teaching and research roles at Stanford.",132
26,"It is, however, part of my desire and effort to bring zero cost to consumer information about science and science-related tools to the general public.",150
27,"In keeping with that theme, I'd like to thank the sponsors of today's podcast.",78
28,Our first sponsor is Roka.,26
29,Roka makes eyeglasses and sunglasses that are of the utmost quality.,68
30,"I've spent a lifetime working on the visual system and I can tell you that there are many features built into our visual system that allows us to see things clearly, whether or not we are in shade or bright sunlight, etc.",221
31,"A lot of sunglasses have the problem that you have to constantly take them off and put them back on again because of changes in background luminance, as we call it.",164
32,Roka sunglasses have solved this problem.,41
33,"It doesn't matter if you're standing in tree shade or a bright light or what have you, you can always see things with perfect clarity.",134
34,That shows that they really understand the way that the visual system works and their eyeglasses are built accordingly.,119
35,"I wear readers at night, so I wear eyeglasses to read at night or when I drive at night, and their readers and eyeglasses are terrific as well.",143
36,"One thing I like so much about their eyeglasses and their sunglasses is that, despite being, quote, unquote, performance glasses, meaning you can wear them on running or swimming or biking, they don't fall off your face, even if you get sweaty, they're very lightweight.",270
37,"You don't even notice that they're on, is that the aesthetic is really good.",76
38,"A lot of performance glasses, they look ridiculous, frankly, they make people like cyborgs, but their aesthetics are terrific.",126
39,They have a lot of different styles you can select from.,56
40,The company was founded by two all American swimmers from Stanford and everything about their sunglasses and eyeglasses were designed with optical clarity and performance in mind.,179
41,"If you'd like to try Roka, you can go to roka.com, that's roka.com, and enter the code, Huberman, to save 20% off your first order.",131
42,Today's episode is also brought to us by Bel Campo.,51
43,"Bel Campo is a regenerative farm in northern California that raises organic grass fed and finished, certified humane meat.",122
44,"I tend to eat meat about once a day, so typically I'll fast until about noon or one, and then my lunch consists of a small piece of steak or chicken and some salad, and then I tend to eat my carbohydrates in the evening before I go to sleep.",241
45,"Sometimes, and especially lately, I'm eating my protein earlier in the day because I'm playing around with some of the findings related to protein intake early in the day.",171
46,"But regardless, I'm eating meat about once a day.",49
47,"For me, it's extremely important that any meat that I consume come from humanely raised animals and that the meat be of the very highest quality.",145
48,"So with Bel Campo meats, the animals graze on open pastures and seasonal grasses, which results in meats that's much higher in nutrients and healthy fats, including omega-3s, which I've talked a lot about on this podcast, the importance of omega-3s for heart health, for brain health, for mood, et cetera.",305
49,"Personally, I love their ribeye steaks, their New York steaks, their chicken is terrific, and I also like the organic meatballs, although meat is organic and grass fed and grass finished.",187
50,"If you'd like to try Bel Campo, first time customers can get 20% off by going to Bel Campo.com slash Huberman and using the code Huberman at checkout.",150
51,Today's episode is also brought to us by Helix Sleep.,53
52,Helix Sleep makes mattresses and pillows that are absolutely second to none.,76
53,"I started sleeping on a Helix mattress about eight, nine months ago, and I've never slept better in my life.",108
54,"If you go to the Helix site, they have a short two-minute quiz, and that quiz asks you questions like, do you sleep on your back, do you sleep on your side, do you sleep on your stomach, do you tend to run hot or cold in the middle of the night?",245
55,"Maybe you don't know, and they actually have an option to select, I don't know.",79
56,And Helix will match you to a mattress that's specific to your sleep needs.,75
57,It turns out to be really important.,36
58,"Some people have the tendency to run hot and sleep on their stomach, other people lie on their back, and they're waking up cold in the middle of the night.",155
59,So you really need a mattress that's matched to your sleep needs.,65
60,"I did that, and I matched to the Dusk mattress, dusk, and it turns out to be perfect for me and my sleep needs.",111
61,"As well, their pillows are really terrific.",43
62,"So if you're interested in upgrading your mattress, go to helix sleep.com slash Huberman, take their two-minute sleep quiz, and they'll match you to a customized mattress.",171
63,"And you'll get up to $200 off any of their mattresses, and you'll get two free pillows with your order.",103
64,"They have a 10-year warranty, you have to try it out for 100 nights risk-free, it's more than three months.",107
65,"And if you don't like it, they'll pick it up for you, and they'll take it away, and you get all your money back.",112
66,"So if you're interested, go to helix sleep.com slash Huberman for up to $200 off your mattress and two free pillows.",116
67,"So let's talk about ADHD, attention deficit hyperactivity disorder.",67
68,"Let's also talk about focus and attention and everybody's ability to focus and attend, not just people with ADHD.",113
69,"We are also going to talk about tools that would allow anyone, whether or not they have ADHD or not, to enhance their level of concentration and focus.",151
70,"Now, ADHD used to be called ADD, attention deficit disorder.",60
71,"We have record of ADD in the medical literature, dating back to as early as 1904.",81
72,"Now, there's nothing special about 1904, that's just the first time that it showed up in the standard medical literature.",121
73,"We have to believe that ADD, which we now call ADHD, existed before 1904, and probably long before 1904.",104
74,Why?,4
75,"Well, because it has a strong genetic component.",48
76,"If you have a close relative that has ADHD, there's a much higher probability that you will have ADHD.",102
77,And that probability goes up depending on how closely related to that person you happen to be.,94
78,"So for instance, if you're an identical twin and your twin has ADHD, there's a very high concordance, as we say, a very high probability that you will have ADHD, up to 75% chance.",179
79,"If you have a fraternal twin with ADHD, that number goes down a bit in the 50 to 60% range, and so on.",102
80,"If you have a parent with ADHD, that number ranges anywhere from 10 to 25% likelihood that you will have ADHD.",110
81,If you have two parents and so on and so on.,44
82,"Okay, so there's a genetic component.",37
