index,content,token
0," Two, one.",10
1,"Boom, all right, well, thank you very much for doing this, man.",63
2,I really appreciate it.,23
3,"I've been absorbing your information and listening to you talk for quite a while now, so it's great to actually meet you.",121
4,Thanks for having me.,21
5,"My pleasure, my pleasure.",25
6,"You are one of the rare guys that is, you're a big investor, you're deep in the tech world, but yet you seem to have a very balanced perspective in terms of how to live life, as opposed to not just be entirely focused on success and financial success and tech investing, but rather how to live your life in a happy way.",319
7,"That's a, it's a, it's not balance.",35
8,"Yeah, you know, I think the reason why people like hearing me is because like if it's like, if you go to a circus and you see a bear, right, that's kind of interesting, but not that much.",187
9,"If you see a unicycle, that's interesting, but you see a bear on a unicycle, that's really interesting, right?",110
10,"So when you combine things, you're not supposed to combine.",59
11,Right.,6
12,People get interested.,22
13,"It's a Bruce Lee, right, striking thoughts, philosophy, plus martial arts.",74
14,"And I think it's because of some level, all humans are broad.",61
15,"We're all multivariate, but we get summarized in pithy ways in our lives, and at some deep level, we know that's not true, right?",129
16,Every human basically is capable of every experience and every thought.,71
17,"Your UFC comedian, commentator, podcaster, but you're also more than that.",74
18,"You're also father, lover, thinker, et cetera.",46
19,"So I like the model of life that the ancients had, the Greeks, the Romans, right, where you would start out, and when you're young, you're just like going to school, then you're going to war, then you're running a business, then you're supposed to serve in the Senate or the government, then you become a philosopher, this sort of this arc to life, where you try your hand at everything.",387
20,"And as one of my friends says, specialization is for insects, right?",68
21,So everyone should just be able to do everything.,49
22,And so I don't believe in this model anymore of trying to focus your life down on one thing.,92
23,"You've got one life, just do everything you're going to do.",59
24,I couldn't agree more.,22
25,"And I think that sometimes people find certain success in whatever the endeavor is, and then they think that that is their niche, and they stick with it, and they never change.",176
26,And they almost have out of fear.,33
27,"Well, it's hard because there's a analogy around mountain climbing.",67
28,"Like if you find a mountain, and you start climbing, and you spend your whole life climbing it, and you get, say, two-thirds of the way.",136
29,"And then you see the peak is like way up there, but you're two-thirds of the way up.",84
30,You're still really high up.,28
31,"But now to go the rest of the way, you're going to have to go back down to the bottom and look for another path.",112
32,Nobody wants to do that.,24
33,People don't want to start over.,32
34,And it's the nature of later in life that you just don't have the time.,71
35,"So it's very painful to go back down and look for a new path, but that may be the best thing to do.",99
36,"And that's why when you look at the greatest artists and creators, they have this ability to start over that nobody else does.",126
37,"Like Elon will be called an idiot and start over, doing something brand new that he supposedly is not qualified for.",116
38,"Or when Madonna or Paul Simon are you to come out a new album, they're existing fans, usually hate it, because they've adopted a completely new style that they've learned somewhere else.",186
39,A lot of times they'll just miss completely.,44
40,So you have to be willing to be a fool and have that beginner's mind and go back to the beginning to start over.,112
41,"And if you're not doing that, you're just getting older.",56
42,"Yeah, I mean, I don't even know if it's willing to be a fool.",61
43,"It's just to me that the most exciting thing is to try to get better at something, to learn that thing.",103
44,So it's really exciting when you just have incremental progress in something that you're completely new to.,107
45,"Yeah, I live for the aha moment, that moment when you connect two things together, that you hadn't connected to before, and it fits nicely and solidly, and it helps form a steel framework of understanding in your mind that you can then hang other ideas off of.",260
46,That's what I live for.,23
47,It's a curiosity fulfilled.,27
48,"And it's what little children do, too.",38
49,"My little son is always asking, why, why, why, why?",51
50,"And I always try and answer him and half the times I realize, actually, I don't really understand why.",102
51,"I just have a memorized answer for you, but that's not really understanding.",76
52,"Yeah, those are weird conversations, right?",43
53,"When you're talking to your kids and you say, look, the reality is, I don't know a lot of things.",97
54,Yes.,4
55,I just memorize a lot of things.,32
56,And there's certain things that you just can't know.,52
57,"Yeah, you realize that you have answers for a few things that you've thought through.",85
58,"Then you sort of have cover-ups, like track doors.",50
59,Don't go here.,14
60,This is just a cover-up.,24
61,I don't really know the answer to what the meaning of life is or how we got here.,81
62,Yes.,4
