index,content,token
0," If anybody's got the answers, it's Chaco.",42
1,Got any answers?,16
2,"Oh, I'm not quite so sure about that.",37
3,I'm not sure how this movie ends.,33
4,This is the dumbest fucking movie I've ever seen.,49
5,Do you know magic the gathering is now racist?,46
6,I don't even know what magic the gathering is.,46
7,It's some dirty game that nerds play.,37
8,Oh.,3
9,How is it racist?,17
10,I don't know.,13
11,I just read.,12
12,I only saw the title of the article that they're trying to cancel magic the gathering.,86
13,"I'm like, oh Christ.",20
14,I thought that's what you guys liked.,37
15,I thought they liked magic the gathering.,41
16,I have no idea.,15
17,Everything's problematic.,25
18,Everyone's getting canceled.,28
19,It's amazing how many people did blackface.,43
20,"Yeah, it's very strange.",24
21,It's very strange.,18
22,It's very strange.,18
23,"It was on Primetime TV, right?",30
24,Yeah.,5
25,A bunch of times.,17
26,Yeah.,5
27,"I mean, like in the modern world, Primetime TV.",47
28,"Jimmy Fallon was doing, well, he's doing a Chris Roth impression, which by the way, he used to be able to do when I was in high school.",135
29,My friends were Mr. T for Halloween.,36
30,Nobody gave a fuck.,19
31,"Nobody was like, Jimmy, what's wrong with you?",46
32,"Everybody's like, oh, you're Mr. T for Halloween.",49
33,It was never like a problem.,28
34,"It's very, it's a very strange thing.",37
35,"You know, like you can do whiteface.",36
36,No problem.,11
37,Here it is.,11
38,What is magic the gathering?,28
39,And vote prejudice card.,24
40,"So that's a, it's an enchantment card.",38
41,It restricts the castors opponent's only using summons that match the skin color of their opposing creatures.,109
42,Huh?,4
43,This is you.,12
44,"If you brought me on to talk about this, I should leave now about about magic the gathering.",92
45,"This is why I'm here, man.",26
46,We're in a bad way.,19
47,It just shows how fucked up everything is.,42
48,"There's a lot of thin skin out there right now, apparently.",59
49,"I just don't, I mean, it seems like a perfect storm.",52
50,"Like if you wanted to engineer the downfall of society, you would do it in several steps.",89
51,"You would have a reality show president where everybody's mad at him and then all the liberals get their feathers in a ruffle and everybody gets real super uptight and then there's this big divide between the left and the right that's kind of, you know, manufactured and then you'd have this disease.",300
52,Just lock everyone inside.,26
53,"Yeah, unprecedented.",20
54,Lock shut down the economy.,27
55,Force people to not work.,25
56,"So if your business falls apart, you could be the most hard work and diligent, disciplined person who's always at work, our early, always has your eyes dot in your teeth crossed and you still go broke and you're still fucked.",225
57,"And then you have this George Floyd thing and then boom, it just ignites the power's gig.",89
58,"The other thing that you have to wrap around all this is this social media, which is, you know, I'm only going to post things that are just going to completely make everyone that sees whatever I'm posting emotional and and filled with rage, whether you're on the left or you're on the right, my goal is to enrage people.",320
59,That's the goal.,16
60,And then that just gets spun up over and over.,46
61,So you're taking all these little incidents and you're multiplying times thousands and thousands of views.,106
62,No.,3
63,"And then on top of that mainstream media is the same thing, right?",66
64,"It's not like there's this huge difference between what the mainstream media shows and what social media, they're both is both emotional media.",143
65,"They're trying to make people emotional, which is the worst possible thing.",75
66,No one makes good decisions when they're emotional.,51
67,No.,3
68,I spent my adult life trying to train humans to not get emotional in pressure situations.,89
69,Why?,4
70,"Because it's going to end up bad every single time, every single time.",70
71,And yet that's what our that's what our society is based on right now.,70
72,But it's based on these emotional reactions.,44
73,Yeah.,5
74,"Because of social media, I think, and because of things like YouTube and user created content where anybody can kind of make videos, so many things are vying for folks' attention that mainstream media has resorted to click baity type shit, whether it's New York Times articles, which you know used to be beyond reproach, that they've gone social justice warrior and click baity.",378
75,And all these other websites are 100% click baity.,50
76,That's the only way they can get people to pay attention.,57
77,"Like I saw like the dumbest fucking article, I couldn't believe how dumb it was.",80
78,It was an article on Ozark.,27
79,It's like has Ozark been canceled?,34
80,"And I'm like, fuck, they canceled that show?",44
81,That show's amazing.,20
82,So then I click on the article.,31
83,The entire article is about a guy who couldn't find season one on Ozark because there was a glitch and then he found it.,120
84,And so it's not.,16
85,So the whole article was just bullshit.,39
86,But they got me.,16
87,They get everybody.,19
88,They got you to click.,22
89,They got their advertising dollars because they can show the engagement with the audience.,90
90,Exactly.,8
91,"Well, here's a good one.",24
92,CNN showed a guy got shot yesterday in San Bernardino.,54
93,Hispanic man got shot in San Bernardino.,40
94,So that's the title.,20
95,The title of the article is Hispanic man gets gunned down by the police in San Bernardino.,90
96,What they leave out is the guy had a gun and was shooting at the cops.,70
97,So this guy's got a gun.,24
98,There's photos of this gentleman with a gun.,44
