index,content,token
0," And okay, that'll just be a very professional.",47
1,"Well, you know, people are like, how do you live and things like that?",70
2,They're taking money from the Russians and of course the answer is no.,70
3,But I do this for a living like I speak.,40
4,"I don't have a YouTube channel where it's, you know, I'm Joe Rogan.",67
5,But I give speeches at universities and things like that.,57
6,"I do a lot of interviews and so we're recording now, right?",59
7,Right on set up.,16
8,Is it possible that you could do a YouTube channel?,51
9,Would that work?,16
10,"I mean, if, yeah, like I mean, if you introduce me so like I get followers, yeah, we could do that.",99
11,"Dude, I'm all in.",17
12,That could absolutely happen.,29
13,Do you want to do that?,23
14,Is that something you want to do?,33
15,"Well, I mean, this is a big question.",37
16,"So I came on because I had just written a book called Permanent Record, which is the story of my life because that's what publishers make you do when you're writing your first book.",181
17,But it's more than that because I didn't just want to talk about me.,68
18,"It's actually about the changing of technology and the changing of government in this sort of post-9-11 era, which you know, our generation just sort of happened to be growing up during.",186
19,And I was at the CIA and the NSA and all this stuff.,52
20,"But the day that the book came out, the government hit me with a lawsuit.",73
21,And they hit the publisher of the books with a lawsuit because they don't want to see books like this get written.,114
22,They especially don't want to see books like this get read.,59
23,"And so the big thing was, you know, we didn't know where this was going.",72
24,We didn't know what was going to happen.,40
25,And my publisher of course wanted me very badly to let people know this book existed in case the government leaned hard and hard and hard.,138
26,And we didn't know where that's going.,38
27,The government is still pursuing that case quite strongly.,58
28,"They're more focused on the financial censorship side of it, basically taking any money that I made from it kind of as a warning to the others.",143
29,"And getting a legal judgment against the publishers saying, you know, you can't pay the sky that kind of thing.",111
30,"More so than taking the book off the shelves, but that's not because they're okay with the book being on the shelves.",117
31,It's because thankfully we've got the first amendment and so they can't.,72
32,And that's a very rare and good thing.,38
33,"But anyway, in the context of that, they were like, well, what about Joe Rogan?",79
34,"And you know, I had heard about you at this point, but you know, the only thing that I had really seen that I really understood had familiarity with was like you talking to Bernie Sanders, which by the way, I very much appreciated hearing that because a lot of people don't give the guy time to talk to hear him in those sound bites.",333
35,You don't really get an understanding of who he actually is.,60
36,Right.,6
37,And this is the other thing.,28
38,"Like they're like, well, you know, you can go on all these major network shows.",79
39,And I did a couple of them.,27
40,I did like a morning show.,26
41,I did Brian Williams.,21
42,"But broadly, the media, the sort of more corporatized media, as we might say, is exactly what you just described, right?",120
43,"They want you to be able to answer in light eight, 15 seconds or less.",70
44,"And when we're talking about big massive shifts in society, when we're talking about power, we're talking about technology and how it controls and influences us in the future, you can't have a meaningful conversation within those constraints.",242
45,"And so instead, these guys all want to say, repeat these long discredited sort of criticism.",92
46,"You know, I'm sure you'll ask the same thing.",45
47,And that's okay.,16
48,"There are questions, but it's like, we can't have the conversation if we can't have this space to think and breathe and have this sort of discussion.",149
49,"So anyway, they mentioned you.",30
50,"And I was like, Joe Rogan, Joe Rogan, Joe Rogan.",48
51,Where do I know this name from before Bernie Sanders?,53
52,And I look back through my Twitter mentions.,44
53,"And the funny thing is, your fans have been harassing me to death for like the last years.",90
54,"Wonderful people, wonderful people.",35
55,"But like, go on, Joe Rogan, go on, Joe Rogan.",45
56,"And I remember like after I had just made a Twitter account, Neil deGrasse Tyson actually, I helped me get on Twitter, gave me that little initial boost.",153
57,"And they said, Joe Rogan.",25
58,"And so I, they like linked you and you know, I mouse over your name because I use a desktop and not mobile for this because security reasons.",141
59,"And it pops up and I get your avatar, man.",42
60,"Like I have to say, your logo is the worst thing in the world for people who are like trying to be like politically serious.",124
61,"And you know, they're worried about the national security advisor condemning it because like this bald guy with this maniacal grin and like the third eye on his forehead.",170
62,"And I'm like, oh, man, that's show.",35
63,"You know, that doesn't look good.",33
64,"But it's actually like when you watch, you know, when you watch what you do, it's great stuff, man.",99
65,It's great.,11
66,But that first impression like I.,33
67,This almost didn't happen.,26
68,"But everybody who has talked to you, you know, everybody who watches you show, I think they get a very different impression than how you're paying it.",150
69,"And for me, it's a wonderful thing because nobody understands that better than I do, right?",91
70,Like the government ran a smear campaign against me endlessly for six months.,77
71,"When I came forward in June of 2013, I know we got way off topic here.",70
72,I'll get back to it.,20
73,Fine.,5
74,There's no such thing as off topic.,35
75,We could do it.,15
76,We can talk about whatever.,27
77,Great.,6
78,Great.,6
79,"So for those people, first of all, who have no idea who the hell I am, I'm the guy who is behind the revelations of global mass surveillance in 2013.",149
80,I worked for the CIA.,21
81,I worked for the NSA as a contractor.,37
82,"The NSA staff officer, the CIA, I was undercover working at an embassies.",73
83,But and I talk about the difference between this and a book and contractor and government official and how it's all sort of lost its meaning.,141
84,But I saw something wrong.,26
85,And I saw basically the government was violating the law.,57
86,"And what I believed to be the Constitution of the United States and more broadly human rights for everyone in the United States and around the world, there were domestic surveillance programs, there were mass surveillance programs that worked internationally.",259
87,"Basically, everything that they could monitor, they were monitoring.",68
88,And this is actually like people who isn't that obvious isn't that what they're supposed to do.,95
89,"And this is weird, but the answer actually is no.",49
90,What are the framework of our Constitution?,43
91,"The government is only supposed to be monitoring people that it has an individualized, particularized suspicion of wrongdoing for.",130
92,"This is we think about this in the investigative means, right?",62
93,Like all those TV shows where they're like go and get a warrant.,64
94,"The reason they have to do that, like we fought a revolution over this a couple hundred years back, is the idea that when we had kings, when we had governments of absolute power, they could simply go in your home and go, you know, is this guy pot smoker, get his diary, you know, whatever it is.",295
95,"And just like if you find evidence of crime, you march them off to prison and it's all good.",92
96,"You found evidence, they're criminal, where you didn't find evidence, well, no harm, no foul, you're just doing what government does.",133
97,"We were trying to build a better system where it went, yes, the government has extraordinary capabilities, but it only uses them where they're necessary, right?",160
98,"They're there, proportionate to the threat that is presented by this person.",76
99,"You know, like we shouldn't be afraid of the person who's got like a baggy of weed in their dresser or something like that.",123
100,That is not a threat to national security.,42
101,That is not a threat to public safety.,38
102,But what happened in the wake of 9-11 was a whole bunch of government officials got to gather behind closed doors.,114
103,And this was actually led interestingly enough by the vice president of the United States Cheney.,97
104,"Can look that name up, Dick Cheney, and his personal attorney, sort of the Giuliani of Dick Cheney, a guy named David Addington.",128
105,And this lawyer David Addington wrote a secret legal interpretation that no one else was allowed to see.,104
106,It was kept in the vice president's safe at the White House.,60
107,"They weren't giving this even when they told people, and it was just a couple people in Congress, Nancy Pelosi was one of them and a couple of these other folks, when they talked to the heads of the agency, the NSA and the CIA and the FBI and all this stuff.",258
108,"They told them the White House and the Office of Legal Counsel and you know, this, this, the president's attorneys, all of these guys had decided this would be legal to do.",172
109,But we can't tell you why.,26
110,"We can't show you the legal authorization, or you just got to take our word for it.",83
111,"And so they did this and this became a master violence program called Stellar Wind, which they said was supposed to monitor the phone calls and internet communications, emails and things like that of everybody in the United States and around the world who they could get access to for links to Al Qaeda.",303
112,"Because if you remember in the wake of the September 11th attacks, they were saying we thought there could be sleeper cells of Al Qaeda.",136
113,"There was just, you know, peppered all throughout the country and they were going to spring up at any moment.",109
114,"Of course, it's like weapons of mass destruction.",49
115,It just didn't exist.,21
