title,index,content,token
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",0," battle not with monsters, lest ye become a monster.",52
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",1,"And if you gaze into the abyss, the abyss gazes also into you.",62
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",2,Right.,6
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",3,"But I would say, bring it on.",29
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",4,"If you gaze into the abyss long enough, you see the light, not the darkness.",76
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",5,Are you sure about that?,24
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",6,I'm betting my life on it.,26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",7,"Following is a conversation with Jordan Peterson, an influential psychologist, lecturer, podcast host, and author of Maps of Meaning, 12 rules for life, and beyond order.",170
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",8,This is the Lex Friedman podcast to support it.,47
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",9,Please check out our sponsors in the description.,49
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",10,"And now, dear friends, here's Jordan Peterson.",46
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",11,Does the Yevsky wrote in the idiot spoken through the character of Prince Michigan that beauty will save the world?,115
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",12,Soldiers and actually mentioned this in his Nobel Prize acceptance speech.,74
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",13,What do you think the Yevsky meant by that?,43
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",14,Was you right?,14
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",15,"Well, I guess it's the divine that saves the world.",51
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",16,Let's say you could say that by definition.,43
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",17,"And then you might say, well, are there pointers to that which will save the world or that which eternally saves the world?",123
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",18,And the answer to that in all likelihood is yes.,48
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",19,"And that's maybe truth and love and justice and the classical virtues, beauty, perhaps in some sense, foremost among them.",122
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",20,"That's a difficult case to make, but definitely a pointer.",58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",21,Which direction is the arrow pointing?,38
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",22,"Well, the arrow is pointing up.",31
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",23,"No, I think that which it points to is what beauty points to.",61
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",24,It transcends beauty.,21
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",25,It's more than beauty.,22
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",26,And that speaks to the divine.,30
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",27,It points to the divine.,24
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",28,Yeah.,5
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",29,"And I would say again, by definition, because we could define the divine in some real sense.",92
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",30,So one way of defining the divine is what is divine to you is your most fundamental axiom.,90
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",31,"And you might say, well, I don't have a fundamental axiom.",58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",32,"And I would say, that's fine, but then you're just confused.",60
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",33,Because you have a bunch of contradictory axioms.,49
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",34,"And you might say, well, I have no axioms at all.",49
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",35,"And then I'd say, well, you're just epistemologically ignorant beyond comprehension, if you think that.",103
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",36,Because that's just not true at all.,36
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",37,But you don't think a human being can exist within contradictions.,66
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",38,"Well, yeah, we have to exist within contradiction.",50
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",39,"But when the contradictions make themselves manifest, it's a in confusion with regard to direction.",99
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",40,Then the consequence of that technically is anxiety and frustration and disappointment and all sorts of other negative emotions.,128
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",41,"But the cardinal negative emotion, signifying multiple pathways forward is anxiety.",83
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",42,It's an entropy signal.,23
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",43,"But you don't think that kind of entropy signal can be channeled into into beauty, into love.",93
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",44,"Why does beauty and love have to be clear, ordered, simple?",59
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",45,"Well, I would say it probably doesn't have to be, it can't be reduced to clarity and simplicity.",96
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",46,"Because when it's optimally structured, it's a balance between order and chaos, not order itself.",97
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",47,"If it's too ordered, if music is too ordered, it's not acceptable.",66
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",48,It sounds like a drum machine.,30
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",49,It's too repetitive.,20
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",50,It's too predictable.,21
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",51,"It has to have, well, it has to have some fire in it, along with the structure.",79
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",52,I was in Miami doing a seminar on Exodus with a number of scholars.,67
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",53,And this is a beauty discussion.,32
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",54,"When Moses first encounters the burning bush, it's not a conflagration that demands attention.",94
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",55,It's something that catches his attention.,42
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",56,It's a phenomenon.,18
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",57,That means to shine forth.,26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",58,And Moses has to stop and attend to it.,39
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",59,And he does.,12
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",60,And he sees this fire that doesn't consume the tree.,52
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",61,"And the tree, the tree is a structure, right?",45
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",62,It's a tree-like structure.,27
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",63,It's a branching structure.,27
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",64,It's a hierarchical structure.,30
